TIME,GLOBAL,POLAR (N),POLAR (S),MID-LATITUDES (N),MID-LATITUDES (S),HIGH-LATITUDES (N),HIGH-LATITUDES (S),TROPICS
1981-09-01,-0.12202439,-0.004666413,0.0004849151,-0.010888906,-0.041034114,-0.0016390925,0.013136906,-0.07741767
1981-09-02,-0.12980805,-0.0074125407,0.0005693463,-0.010550701,-0.043415654,0.0001533865,0.013493304,-0.08264526
1981-09-03,-0.13343158,-0.008556182,0.00066635926,-0.0068801483,-0.04873143,0.0011807965,0.01327842,-0.08438939
1981-09-04,-0.13711739,-0.011570516,0.00076518,-0.005743201,-0.052950826,0.0046520107,0.011174687,-0.08344472
1981-09-05,-0.1466461,-0.011724983,0.00074971624,-0.006438024,-0.06830441,0.0068452735,0.0075073107,-0.07528092
1981-09-06,-0.15268935,-0.010708243,0.00070376485,-0.0055486606,-0.078752965,0.0091809565,0.0035445273,-0.07110873
1981-09-07,-0.15607339,-0.011963813,0.00071105047,-0.0021699583,-0.08117359,0.0104669845,0.002188803,-0.07413282
1981-09-08,-0.15017234,-0.012244041,0.000722797,-0.0014261826,-0.076902784,0.009131421,0.004051212,-0.073504746
1981-09-09,-0.14819005,-0.012411922,0.00080202386,-0.0038736027,-0.07070211,0.008177294,0.002498415,-0.07268007
1981-09-10,-0.1522673,-0.013264466,0.00085161166,-0.012726136,-0.06902484,0.00713654,0.00078093854,-0.06602093
1981-09-11,-0.14349963,-0.0139591,0.0009117773,-0.017656215,-0.0707188,0.006488935,-0.001683982,-0.04688224
1981-09-12,-0.15299752,-0.017160479,0.00097041,-0.01710436,-0.07681655,0.0061026146,-0.0038579064,-0.04513123
1981-09-13,-0.16021377,-0.016562758,0.0010509433,-0.013458522,-0.08027924,0.0048579243,-0.0050095185,-0.050812613
1981-09-14,-0.1761164,-0.016249888,0.0011292098,-0.010776095,-0.082532555,0.0017009294,-0.0042983936,-0.06508965
1981-09-15,-0.18948127,-0.017196197,0.0011325823,-0.011317339,-0.088971004,0.00077126746,-0.0018236268,-0.07207693
1981-09-16,-0.20117095,-0.016901664,0.0011269058,-0.007209222,-0.097260796,0.00070877915,-0.001217864,-0.08041705
1981-09-17,-0.21128961,-0.014946915,0.0010673251,-0.0048188516,-0.103301786,0.0016340468,-0.0017306021,-0.089192785
1981-09-18,-0.2253255,-0.015831536,0.0009880201,-0.005485354,-0.10828119,0.0027321351,-0.0031799586,-0.09626767
1981-09-19,-0.2250517,-0.015155482,0.00096120365,-0.0062231896,-0.10661005,0.0033219536,-0.0048350124,-0.096511096
1981-09-20,-0.23939052,-0.014857466,0.00094483997,-0.01148236,-0.108157836,0.0038882762,-0.0075902706,-0.10213573
1981-09-21,-0.24032268,-0.014023605,0.0009450087,-0.011169583,-0.10532396,0.00510504,-0.0106208855,-0.1052347
